station_id,name,city,lat,lon
tt_aksesui,Jl. Akses UI (Kelapa Dua),Jabodetabek,-6.348,106.823
tt_citayam,Jl. Raya Citayam,Jabodetabek,-6.435,106.802
tt_parung,Jl. Raya Parung,Jabodetabek,-6.47,106.733
tt_pajajaran_bgr,Jl. Pajajaran (Bogor),Jabodetabek,-6.601,106.806
tt_sholehiskandar,Jl. Sholeh Iskandar (Bogor),Jabodetabek,-6.561,106.783
tt_ciawi,Jl. Raya Puncak (Ciawi),Jabodetabek,-6.648,106.848
tt_dramaga,Jl. Raya Dramaga (Bogor),Jabodetabek,-6.557,106.745
tt_antasari_toll,Tol Depok-Antasari (Krukut),Jabodetabek,-6.335,106.796
tt_cijago_toll,Tol Cijago (Depok),Jabodetabek,-6.376,106.865
tt_transyogi,Jl. Transyogi (Cibubur),Jabodetabek,-6.364,106.91
tt_cileungsi,Jl. Raya Cileungsi,Jabodetabek,-6.405,106.96
tt_narogong,Jl. Raya Narogong (Rawalumbu),Jabodetabek,-6.29,106.97
tt_jatiasih,Jl. Jatiasih Raya,Jabodetabek,-6.305,106.952
tt_pondokgede,Jl. Raya Pondok Gede,Jabodetabek,-6.283,106.91
tt_cikarang,Cikarang (Jababeka),Jabodetabek,-6.282,107.152
tt_harapanindah,Boulevard Harapan Indah,Jabodetabek,-6.183,106.983
tt_becakayu_toll,Tol Becakayu,Jabodetabek,-6.243,106.92
tt_jorr_e,Tol JORR Timur (Jatiwarna),Jabodetabek,-6.296,106.913
